dur,spkts,dpkts,sbytes,dbytes,rate,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,label
0.001004,2,2,146,178,2988.047923,581673.3125,709163.375,0,0,0.008,0.009,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,2,0,2,2,1,1,0,0,0,6,3,0,0
0.565382,10,6,870,268,26.530735,11079.23438,3169.53833,2,1,62.807778,93.505602,3583.628312,160.164672,255,2755801485,4197300168,255,0.156158,0.097843,0.058315,87,45,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1
1.7093,22,22,1186,1658,25.156496,5302.755371,7408.880859,7,9,81.395235,79.424238,4175.346903,4648.523806,255,2025630580,2431672182,255,0.105559,0.040387,0.065172,54,75,0,0,1,1,3,1,1,5,1,1,0,3,1,0,1
9e-06,2,0,114,0,111111.1072,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,25,2,27,25,25,28,0,0,0,26,25,0,1
1e-05,2,0,200,0,100000.0025,80000000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,15,2,2,2,2,2,0,0,0,7,12,0,1
1e-05,2,0,1016,0,100000.0025,406400000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,508,0,0,0,5,2,21,3,1,36,0,0,0,20,5,0,0
9e-06,2,0,168,0,111111.1072,74666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,2,2,1,1,1,1,0,0,0,2,1,0,1
0.021638,16,18,1540,1644,1525.094714,533875.5625,574175.0625,4,4,1.419333,1.246294,83.618309,2.382858,255,568363139,572494507,255,0.000569,0.000448,0.000121,96,91,0,0,14,0,7,6,1,6,0,0,0,10,10,0,0
9e-06,2,0,114,0,111111.1072,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,58,2,11,11,11,58,0,0,0,11,58,0,1
3e-06,2,0,114,0,333333.3215,152000000.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,19,2,19,19,19,19,0,0,0,19,19,0,1
0.874242,10,6,1612,268,17.15772,13277.78809,2049.775635,2,1,97.138,162.634203,6005.728885,301.947875,255,1541797794,2279138759,255,0.134736,0.06043,0.074306,161,45,0,0,5,1,1,1,1,4,0,0,0,2,4,0,0
1.1e-05,2,0,114,0,90909.0902,41454544.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,7,2,4,4,4,4,0,0,0,4,7,0,1
0.540399,10,8,838,1152,31.458236,11176.92676,14922.30664,2,2,59.927,62.782,2938.003149,89.00075,255,2116075345,90286508,255,0.165577,0.100924,0.064653,84,144,1,169,4,1,2,2,2,4,0,0,4,2,4,0,0
0.867841,6,2,998,86,8.065994,7669.607422,396.385986,2,1,173.5682,0.002,9236.246186,0.0,255,3917394669,4247215516,255,0.592243,0.209344,0.382899,166,43,0,0,2,3,1,1,1,2,0,0,0,1,2,0,0
2e-06,2,0,104,0,500000.0013,208000000.0,0.0,0,0,0.002,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,2,2,1,1,1,1,0,0,0,1,6,0,1
0.0,1,0,46,0,0.0,0.0,0.0,0,0,60000.696,0.0,10.954515,0.0,0,0,0,0,0.0,0.0,0.0,46,0,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0
1.444252,12,10,3030,834,14.540399,15387.89648,4159.938965,3,2,126.723724,149.282219,6790.012765,217.645328,255,4129724843,3577711606,255,0.194738,0.100704,0.094034,253,83,0,0,3,1,2,2,2,3,0,0,0,4,3,0,1
4e-06,2,0,200,0,250000.0006,200000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,10,2,2,2,2,2,0,0,0,6,9,0,1
3e-06,2,0,114,0,333333.3215,152000000.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,54,2,44,43,18,54,0,0,0,43,54,0,1
4e-06,2,0,200,0,250000.0006,200000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,14,2,4,4,4,4,0,0,0,11,14,0,1
0.670029,12,6,3678,268,25.372037,40260.94531,2674.51123,4,0,8480.367919,16955.146,922835.3797,37648.112,255,3423919297,4086710174,255,0.122684,0.062389,0.060295,307,45,0,0,3,1,2,2,2,3,0,0,0,3,3,0,0
0.001022,2,2,146,178,2935.420795,571428.5625,696673.1875,0,0,0.01,0.009,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,3,0,5,2,1,2,0,0,0,7,4,0,0
0.737744,10,10,840,1194,25.754192,8197.96582,11657.16016,2,2,81.971556,74.692,5400.173083,124.492102,255,1128292935,3335785440,255,0.132693,0.064612,0.068081,84,119,1,133,4,1,3,3,3,5,0,0,9,4,4,0,0
0.711039,10,6,504,268,21.095889,5108.018066,2520.255615,2,1,78.907333,113.747203,4074.349348,178.020453,255,1057528688,3773804157,255,0.26045,0.142301,0.118149,50,45,0,0,5,1,3,3,3,3,0,0,0,4,4,0,1
8e-06,2,0,104,0,125000.0003,52000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,7,2,2,2,1,7,0,0,0,2,7,0,0
0.29186,12,8,1548,412,65.099702,38895.35938,9895.154297,3,2,26.532727,38.058145,1360.024099,59.10334,255,3183358904,2418567940,255,0.062393,0.013717,0.048676,129,52,0,0,1,1,1,1,1,1,0,0,0,8,2,0,1
7e-06,2,0,114,0,142857.1409,65142856.0,0.0,0,0,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,7,2,3,3,3,3,0,0,0,3,7,0,1
0.032081,122,126,7808,15182,7699.261123,1931111.875,3755992.5,30,32,0.26224,0.252864,16.47251,14.347598,255,616233992,2766853797,255,0.0006,0.000469,0.000131,64,120,0,0,3,0,5,1,1,1,0,0,0,2,12,0,0
0.505248,12,8,796,380,37.605294,11558.67969,5272.658203,3,2,45.837271,65.47957,2233.65052,85.236703,255,718387847,1927386418,255,0.098414,0.04689,0.051524,66,48,0,0,5,1,1,1,1,1,0,0,0,4,1,0,1
0.01842,16,18,1540,1644,1791.530981,627144.4375,674484.25,4,4,1.2072,1.056,72.817388,2.159394,255,498035145,2648155259,255,0.000598,0.000462,0.000136,96,91,0,0,7,0,12,5,1,5,0,0,0,8,18,0,0
8e-06,2,0,200,0,125000.0003,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,6,2,2,2,2,6,0,0,0,2,6,0,1
1e-05,2,0,104,0,100000.0025,41600000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,12,2,5,2,2,4,0,0,0,4,12,0,1
0.001105,2,2,146,178,2714.932048,528506.75,644343.875,0,0,0.002,0.009,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,2,0,7,2,1,1,0,0,0,3,4,0,0
0.780539,14,12,738,682,32.02915,7031.039062,6416.079102,4,4,58.00246,65.935906,2981.807001,78.985047,255,3185372534,1906255758,255,0.119192,0.055233,0.063959,53,57,0,0,3,1,1,1,1,1,0,0,0,1,3,0,1
1.636558,16,12,758,682,16.49804,3475.587158,3060.080811,3,4,109.063399,139.928,6467.281976,187.237203,255,1789113294,1626033432,255,0.194041,0.097349,0.096692,47,57,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0
9e-06,2,0,114,0,111111.1072,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,26,2,18,18,18,26,0,0,0,18,26,0,1
0.391876,28,30,4752,3080,145.45417,93560.20313,60794.73828,7,7,14.501926,13.493827,899.639239,23.770922,255,2447308893,2450518586,255,0.000687,0.000551,0.000136,170,103,0,0,8,0,3,1,1,1,0,0,0,5,8,0,0
0.825155,10,8,526,354,20.602189,4595.5,3005.49585,2,0,9550.3648,11941.338,947032.2538,31316.11,255,3738475984,1460955064,255,0.087011,0.030478,0.056533,53,44,0,0,10,1,2,2,2,2,0,0,0,2,7,0,1
0.505964,10,6,534,268,29.646379,7605.284668,3541.75415,2,1,51.137778,88.435398,2915.392868,136.181453,255,113737586,2301460708,255,0.154318,0.063784,0.090534,53,45,0,0,4,1,1,1,1,3,0,0,0,4,3,0,0
8e-06,2,0,114,0,125000.0003,57000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,43,2,41,41,25,43,0,0,0,41,43,0,1
0.015778,46,48,2854,30622,5894.283353,1415642.125,15203448.0,7,17,0.3428,0.323766,0.0,19.076378,255,1769145130,3929880522,255,0.000713,0.000557,0.000156,62,638,0,0,4,0,2,1,1,1,0,0,0,2,5,0,0
3.436729,18,20,1000,1526,10.766051,3375.30249,2199.766113,5,8,197.049647,180.847164,13577.3873,11953.05457,255,3342764553,2655413624,255,0.0,0.0,0.0,56,76,0,0,1,1,2,1,1,2,0,0,0,2,1,0,1
0.544092,10,6,588,268,27.568867,7792.799805,3293.560547,2,1,60.454667,82.749203,2933.551865,123.597039,255,3830017309,756084256,255,0.152664,0.103354,0.04931,59,45,0,0,2,1,1,1,1,1,0,0,0,2,1,0,0
0.083919,54,56,3302,40550,1298.871475,308964.5938,3796613.25,7,21,1.558849,1.514618,0.0,83.969786,255,1188460043,1258465937,255,0.000747,0.000612,0.000135,61,724,0,0,4,0,3,1,1,1,0,0,0,2,7,0,0
4.581184,62,352,3008,473769,90.151369,5168.969727,824981.5,2,174,75.101374,12.801197,3613.770459,1591.03343,255,2748039879,2660133173,255,0.152826,0.087276,0.06555,49,1346,1,229578,1,1,3,1,1,2,0,0,1,3,1,0,1
2.280738,10,10,816,1222,8.330636,2578.112793,3858.400146,2,2,253.415333,244.652781,18088.7923,387.169656,255,3735697304,743961442,255,0.121356,0.055031,0.066325,82,122,1,166,1,1,1,1,1,1,0,0,1,1,1,0,0
1.085727,10,10,608,646,17.499795,4037.847656,4288.371094,2,3,120.636333,106.608445,6672.517129,163.917828,255,1182003712,1827825717,255,0.243854,0.125544,0.11831,61,65,0,0,2,1,1,1,1,1,0,0,0,2,1,0,0
0.72021,10,8,2516,354,23.604226,25159.32813,3443.439941,2,1,80.008889,91.978289,5132.254682,135.594875,255,1483811586,2426648724,255,0.131228,0.076358,0.05487,252,44,0,0,3,1,1,1,1,2,0,0,0,1,2,0,0
0.183774,96,98,5486,92746,1050.202998,236333.7656,3996212.75,7,42,1.931105,1.889165,103.438398,102.545189,255,490679586,525871907,255,0.000652,0.000521,0.000131,57,946,0,0,8,0,7,1,1,1,0,0,0,12,5,0,0
0.647713,10,8,598,354,26.246192,6657.269531,3828.856201,2,1,68.538444,80.793,4208.69439,131.565328,255,1581988617,3989056301,255,0.140108,0.082153,0.057955,60,44,0,0,10,1,2,2,1,10,0,0,0,3,10,0,0
