dur,spkts,dpkts,sbytes,dbytes,rate,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
1.1e-05,2,0,2116,0,90909.0902,769454528.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1058,0,0,0,29,2,10,10,1,10,0,0,0,10,29,0,Fuzzers,1
8e-06,2,0,200,0,125000.0003,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,6,2,2,2,2,6,0,0,0,2,6,0,DoS,1
8e-06,2,0,104,0,125000.0003,52000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,7,2,1,2,1,2,0,0,0,2,2,0,Normal,0
6e-06,2,0,1066,0,166666.6608,710666624.0,0.0,0,0,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,533,0,0,0,36,2,12,12,1,35,0,0,0,12,35,0,Normal,0
0.939457,10,10,830,1230,20.224449,6361.121582,9426.72168,2,2,104.384111,95.523336,7651.006647,145.817531,255,357647623,1403633633,255,0.130409,0.079195,0.051214,83,123,1,265,5,1,4,2,2,8,0,0,4,5,5,0,Normal,0
3e-06,2,0,114,0,333333.3215,152000000.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,39,2,14,14,14,39,0,0,0,15,39,0,Generic,1
5e-06,2,0,250,0,200000.0051,200000000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,125,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Shellcode,1
0.992774,10,8,2516,354,17.123736,18251.88867,2498.050781,2,1,110.308222,125.490289,6909.318998,174.928047,255,2188377063,3536802577,255,0.200835,0.113622,0.087213,252,44,0,0,2,1,1,1,1,2,0,0,0,2,2,0,Normal,0
5e-06,2,0,114,0,200000.0051,91200000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,12,2,7,7,4,7,0,0,0,7,12,0,Generic,1
1.1e-05,2,0,1064,0,90909.0902,386909088.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,532,0,0,0,31,2,9,8,1,31,0,0,0,9,31,0,Normal,0
0.231047,10,6,850,268,64.921854,26488.11719,7755.997559,2,1,24.306,40.092,1246.195619,58.238277,255,1497406849,302190047,255,0.082557,0.030576,0.051981,85,45,0,0,1,1,1,1,1,1,0,0,0,1,2,0,Reconnaissance,1
30.121977,42,0,2184,0,1.361132,566.231079,0.0,0,0,734.682437,0.0,861.593813,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
5e-06,2,0,1064,0,200000.0051,851200000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,532,0,0,0,28,2,8,8,1,28,0,0,0,8,28,0,Fuzzers,1
0.921654,10,8,1612,354,18.4451,12594.74805,2690.814697,2,1,102.406,120.022711,6033.614554,223.735156,255,676771892,3403327238,255,0.147836,0.080827,0.067009,161,44,0,0,5,1,1,1,1,5,0,0,0,1,5,0,Normal,0
0.346236,10,16,1224,15268,72.205088,25462.40234,330733.9688,2,6,38.364222,18.761467,1941.309766,1453.907124,255,1728363756,669693187,255,0.117633,0.064802,0.052831,122,954,0,0,4,1,1,1,1,1,0,0,0,2,1,0,Generic,1
1.160125,22,22,1190,1642,37.064971,7833.638672,10812.62793,7,9,55.244049,54.780713,3003.477448,3593.618904,255,3381023975,1150359159,255,0.051855,0.005569,0.046286,54,75,0,0,1,1,2,1,1,2,1,1,0,2,1,0,Exploits,1
1.1e-05,2,0,1064,0,90909.0902,386909088.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,532,0,0,0,35,2,10,10,1,35,0,0,0,10,35,0,Normal,0
9e-06,2,0,114,0,111111.1072,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,44,2,24,23,23,45,0,0,0,24,44,0,Generic,1
8e-06,2,0,200,0,125000.0003,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,6,2,2,2,2,7,0,0,0,10,6,0,DoS,1
0.756013,20,20,970,3278,51.586416,9756.446289,32962.39844,7,8,39.790158,39.182316,1946.815692,46.840324,255,3840074521,3406331305,255,0.053435,0.008114,0.045321,49,164,0,0,1,1,1,1,1,1,0,0,0,1,1,0,DoS,1
1.244202,28,0,3024,0,21.700656,18749.36719,0.0,0,0,46.081555,0.0,57.727293,0.0,0,0,0,0,0.0,0.0,0.0,108,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Exploits,1
