ai_model_name,query_category,ai_confidence_percentage,response_character_count,has_cited_sources,contains_hedging_words,includes_disclaimer,answer_detail_level,respondent_age_bracket,education_level,digital_literacy_score,ai_familiarity_level,decision_importance,urgency_level,belief_alignment_status,subject_matter_expertise,trust_score_out_of_10,performed_fact_check,fact_check_method_used,verification_duration_mins,answer_accuracy_percentage,trust_calibration_valid,user_skepticism_category
Claude,factual_historical,83.83,448,TRUE,TRUE,FALSE,Vague,65+,Bachelors,Medium,Advanced,Medium,Low,FALSE,TRUE,8.6,FALSE,,0,69.52,TRUE,Blind Trust
Claude,financial_advice,59.1,237,TRUE,FALSE,FALSE,Vague,65+,Bachelors,Low,Intermediate,Medium,High,TRUE,TRUE,9.2,FALSE,,0,67.41,FALSE,Blind Trust
ChatGPT-3.5,current_events,63.52,491,FALSE,FALSE,FALSE,Vague,25-34,High School,Low,Advanced,Critical,Low,,TRUE,6.2,TRUE,Google Search,8.8,39.71,FALSE,Skeptical
Claude,creative_writing,75.25,66,FALSE,TRUE,FALSE,Vague,65+,Bachelors,Low,Beginner,Low,Low,FALSE,TRUE,8.3,FALSE,,0,73.46,TRUE,Blind Trust
ChatGPT-3.5,creative_writing,76.41,199,TRUE,TRUE,FALSE,Specific,55-64,High School,Medium,Intermediate,High,None,FALSE,TRUE,7.6,TRUE,Asked Expert,23.3,74.9,TRUE,Skeptical
ChatGPT-3.5,medical_advice,54.3,423,FALSE,TRUE,FALSE,Vague,25-34,PhD,Expert,Beginner,Low,Low,TRUE,FALSE,7.7,TRUE,Google Search,43.2,61.44,TRUE,Skeptical
GPT-4,technical_coding,94.42,684,TRUE,TRUE,FALSE,Vague,25-34,Masters,High,Expert,High,None,,TRUE,9.7,TRUE,Cross-referenced Multiple AIs,38.2,83.9,TRUE,Moderate Trust
Llama,general_knowledge,76.98,507,TRUE,FALSE,FALSE,Very Specific,35-44,PhD,Medium,Expert,Low,Medium,TRUE,FALSE,10,TRUE,Asked Colleague,5,64.54,FALSE,Moderate Trust
ChatGPT-3.5,scientific_facts,89.04,435,TRUE,FALSE,FALSE,Moderate,25-34,PhD,Expert,Intermediate,Low,Low,FALSE,FALSE,9.8,FALSE,,0,94.1,TRUE,Blind Trust
Gemini,general_knowledge,81.95,323,FALSE,TRUE,FALSE,Vague,25-34,High School,Medium,Beginner,High,Low,FALSE,FALSE,7.4,FALSE,,0,71.74,TRUE,Moderate Trust
Mistral,technical_coding,77.35,749,FALSE,TRUE,TRUE,Vague,45-54,PhD,Expert,Beginner,High,High,,TRUE,7,TRUE,Google Search,40.6,80.99,TRUE,Skeptical
Claude,factual_historical,94.64,520,TRUE,TRUE,FALSE,Vague,35-44,Masters,Low,First Time,High,Low,FALSE,FALSE,10,TRUE,Asked Expert,31.8,96.59,TRUE,Moderate Trust
Mistral,general_knowledge,66.47,293,FALSE,TRUE,TRUE,Moderate,35-44,PhD,Low,Beginner,Low,None,,FALSE,8.1,TRUE,Cross-referenced Multiple AIs,31.5,78.87,TRUE,Moderate Trust
Claude,recipe_cooking,87.27,165,FALSE,TRUE,FALSE,Vague,35-44,Bachelors,Expert,Expert,Medium,High,TRUE,FALSE,9.3,FALSE,,0,81.11,TRUE,Blind Trust
Gemini,scientific_facts,72.67,470,TRUE,TRUE,TRUE,Very Specific,55-64,Bachelors,Medium,Intermediate,Critical,Medium,FALSE,TRUE,6.7,TRUE,Academic Paper,36.4,78.79,TRUE,Skeptical
Claude,medical_advice,73.04,624,FALSE,FALSE,FALSE,Vague,25-34,Masters,High,First Time,Critical,High,TRUE,FALSE,8.6,TRUE,Academic Paper,29.1,78.02,TRUE,Moderate Trust
Gemini,opinion_based,58.32,725,FALSE,TRUE,FALSE,Moderate,35-44,PhD,Low,First Time,Low,Medium,,FALSE,7.8,TRUE,Checked Official Source,25.5,60.13,TRUE,Skeptical
Claude,scientific_facts,78.83,274,TRUE,FALSE,FALSE,Moderate,18-24,PhD,Low,Beginner,Medium,Low,,TRUE,10,TRUE,Checked Official Source,7.8,92.34,TRUE,Moderate Trust
ChatGPT-3.5,medical_advice,73.96,80,FALSE,TRUE,FALSE,Specific,18-24,Professional,Expert,Beginner,Medium,None,FALSE,TRUE,6.8,TRUE,Asked Expert,11.4,68.24,TRUE,Skeptical
Claude,math_calculation,92.28,572,TRUE,FALSE,FALSE,Very Specific,45-54,Bachelors,Low,Expert,Low,Low,FALSE,TRUE,10,TRUE,Asked Expert,27.6,81.33,TRUE,Moderate Trust
Mistral,financial_advice,59.05,497,TRUE,FALSE,TRUE,Very Specific,45-54,PhD,Medium,Advanced,Critical,Low,TRUE,FALSE,8.6,TRUE,Asked Expert,23.2,66,FALSE,Moderate Trust
Gemini,technical_coding,87.61,797,FALSE,FALSE,TRUE,Moderate,35-44,PhD,Expert,Advanced,Low,High,FALSE,FALSE,8.2,TRUE,Asked Colleague,22.1,84.05,TRUE,Moderate Trust
Claude,financial_advice,47.18,149,TRUE,TRUE,TRUE,Moderate,18-24,Professional,Medium,Beginner,Critical,Low,,TRUE,6.2,TRUE,Google Search,18.3,45.65,TRUE,Skeptical
Mistral,opinion_based,41.25,675,TRUE,TRUE,TRUE,Moderate,65+,Bachelors,Expert,Expert,Low,Low,FALSE,TRUE,4,TRUE,Consulted Documentation,26.5,33.02,TRUE,Highly Skeptical
Gemini,current_events,74.08,303,TRUE,FALSE,TRUE,Specific,55-64,Bachelors,High,Advanced,Critical,High,FALSE,FALSE,6.1,TRUE,Personal Testing,14.5,73.05,TRUE,Skeptical
Mistral,general_knowledge,79.89,650,TRUE,FALSE,TRUE,Vague,35-44,Masters,High,Advanced,Medium,Low,,TRUE,8.9,FALSE,,0,90.06,TRUE,Blind Trust
ChatGPT-3.5,medical_advice,60.67,410,FALSE,FALSE,FALSE,Vague,35-44,Masters,Expert,Advanced,High,Low,,FALSE,5.6,TRUE,Academic Paper,38.2,66.68,TRUE,Skeptical
Mistral,scientific_facts,70.41,420,TRUE,FALSE,FALSE,Moderate,45-54,High School,Expert,Beginner,Medium,Low,FALSE,TRUE,7.8,TRUE,Personal Testing,15.5,58.65,TRUE,Skeptical
Gemini,current_events,63.23,80,TRUE,FALSE,FALSE,Vague,45-54,Professional,Low,Intermediate,High,High,,FALSE,7.9,FALSE,,0,46.12,FALSE,Moderate Trust
Mistral,legal_advice,45.79,359,FALSE,FALSE,FALSE,Specific,55-64,Professional,Medium,Expert,Medium,Medium,,TRUE,5,TRUE,Checked Official Source,14,40.12,TRUE,Skeptical
Mistral,general_knowledge,68.07,529,FALSE,TRUE,TRUE,Vague,55-64,High School,High,Advanced,Critical,Medium,TRUE,TRUE,7.2,FALSE,,0,75.76,TRUE,Moderate Trust
Claude,technical_coding,89.29,265,FALSE,FALSE,FALSE,Vague,35-44,Masters,Expert,Beginner,Critical,Medium,,FALSE,9.1,FALSE,,0,79.64,TRUE,Blind Trust
Mistral,general_knowledge,80.59,666,FALSE,TRUE,FALSE,Moderate,45-54,Masters,Expert,First Time,Medium,None,FALSE,TRUE,7.6,TRUE,Cross-referenced Multiple AIs,14.1,83,TRUE,Skeptical
GPT-4,opinion_based,48.91,542,TRUE,FALSE,FALSE,Very Specific,55-64,Professional,Medium,Beginner,Low,Medium,,TRUE,8.1,FALSE,,0,26.43,FALSE,Blind Trust
GPT-4,scientific_facts,71.4,601,FALSE,FALSE,TRUE,Very Specific,45-54,Bachelors,Medium,Advanced,High,Low,TRUE,TRUE,9.1,FALSE,,0,69.83,FALSE,Blind Trust
ChatGPT-3.5,financial_advice,54.93,228,FALSE,TRUE,TRUE,Specific,25-34,Professional,Medium,Beginner,Low,Low,FALSE,FALSE,6,TRUE,Cross-referenced Multiple AIs,3,61.09,TRUE,Skeptical
Mistral,financial_advice,50.73,559,FALSE,FALSE,FALSE,Vague,35-44,Masters,Expert,Beginner,Critical,Low,,TRUE,4.8,TRUE,Asked Expert,21.6,54.21,TRUE,Highly Skeptical
Claude,medical_advice,58.62,95,FALSE,FALSE,FALSE,Specific,45-54,PhD,Low,First Time,High,Low,TRUE,FALSE,8.5,TRUE,Asked Expert,39.8,58.38,FALSE,Moderate Trust
GPT-4,recipe_cooking,80.29,487,TRUE,TRUE,TRUE,Moderate,25-34,Bachelors,Expert,Advanced,Medium,Low,,FALSE,8.1,FALSE,,0,80.24,TRUE,Blind Trust
Mistral,financial_advice,41.85,650,FALSE,FALSE,TRUE,Moderate,25-34,Professional,Medium,First Time,High,High,FALSE,FALSE,4,TRUE,Consulted Documentation,24.4,39.55,TRUE,Highly Skeptical
Gemini,financial_advice,53.92,442,TRUE,FALSE,FALSE,Moderate,65+,PhD,High,Expert,Low,None,,FALSE,6.8,TRUE,Asked Expert,22.8,41.98,FALSE,Skeptical
Llama,medical_advice,59.75,287,FALSE,FALSE,FALSE,Specific,25-34,PhD,Medium,Advanced,High,Medium,FALSE,TRUE,4.9,TRUE,Consulted Documentation,3.4,50.96,TRUE,Highly Skeptical
GPT-4,creative_writing,79.95,137,TRUE,FALSE,FALSE,Very Specific,35-44,High School,Expert,Expert,Critical,Low,TRUE,FALSE,10,TRUE,Academic Paper,8.7,73.49,FALSE,Moderate Trust
Mistral,technical_coding,90.5,224,TRUE,TRUE,TRUE,Vague,35-44,Bachelors,Low,Expert,Low,High,FALSE,FALSE,9.7,FALSE,,0,99.46,TRUE,Blind Trust
Llama,current_events,57.98,170,FALSE,TRUE,FALSE,Specific,45-54,Masters,Medium,Intermediate,Critical,None,,FALSE,5,TRUE,Academic Paper,43.7,35.37,TRUE,Skeptical
Claude,technical_coding,90.1,246,FALSE,TRUE,TRUE,Specific,35-44,Professional,Medium,Expert,Critical,Low,FALSE,TRUE,7.8,TRUE,Checked Official Source,24.5,80.92,TRUE,Skeptical
ChatGPT-3.5,opinion_based,47.49,299,FALSE,FALSE,FALSE,Vague,45-54,High School,High,Expert,High,High,TRUE,FALSE,6,FALSE,,0,35.72,FALSE,Moderate Trust
Claude,current_events,73.04,753,TRUE,TRUE,FALSE,Vague,18-24,Professional,Medium,Intermediate,Critical,High,,FALSE,8.3,FALSE,,0,62.39,FALSE,Blind Trust
Gemini,medical_advice,67.32,71,TRUE,TRUE,FALSE,Specific,25-34,Bachelors,Expert,Expert,Low,Medium,TRUE,TRUE,10,TRUE,Academic Paper,19.3,56.44,FALSE,Moderate Trust
Llama,factual_historical,81.57,447,FALSE,TRUE,FALSE,Very Specific,65+,Professional,Expert,Advanced,Low,High,FALSE,FALSE,6.9,TRUE,Checked Official Source,32.5,74.67,TRUE,Skeptical
Claude,medical_advice,58.83,724,FALSE,TRUE,TRUE,Vague,55-64,Masters,Expert,Expert,High,Medium,TRUE,FALSE,6.4,TRUE,Personal Testing,11.3,46.25,TRUE,Skeptical
Llama,creative_writing,79.31,694,FALSE,FALSE,TRUE,Moderate,45-54,High School,Low,First Time,High,None,FALSE,FALSE,7.5,FALSE,,0,76.55,TRUE,Moderate Trust
Llama,math_calculation,93.96,660,FALSE,FALSE,FALSE,Moderate,25-34,Masters,High,Intermediate,Low,Medium,TRUE,FALSE,10,TRUE,Asked Colleague,44.8,92.88,TRUE,Moderate Trust
