03-03-2026 00:00:50.231 [https-jsse-nio-8183-exec-8] INFO  i.e.i.d.w.r.DataControllerBodyForm - Multipart/form request 
03-03-2026 00:00:50.293 [https-jsse-nio-8183-exec-8] INFO  i.e.i.d.h.ArtifactMessageHandler - Handling header through ArtifactMessageHandler 
03-03-2026 00:00:53.735 [https-jsse-nio-8183-exec-9] INFO  i.e.i.d.w.r.DataControllerBodyForm - Multipart/form request 
03-03-2026 00:00:53.756 [https-jsse-nio-8183-exec-9] INFO  i.e.i.d.h.ArtifactMessageHandler - Handling header through ArtifactMessageHandler 
03-03-2026 00:07:22.323 [restartedMain] INFO  i.e.idsa.dataapp.ApplicationDataApp - Starting ApplicationDataApp v0.3.8 using Java 17.0.18 on f787773d8524 with PID 1 (/home/nobody/app/application.jar started by nobody in /home/nobody) 
03-03-2026 00:07:22.326 [restartedMain] INFO  i.e.idsa.dataapp.ApplicationDataApp - The following 1 profile is active: "docker" 
03-03-2026 00:07:22.329 [restartedMain] INFO  i.e.idsa.dataapp.ApplicationDataApp - Starting ApplicationDataApp v0.3.8 using Java 17.0.18 on b84f062e2cda with PID 1 (/home/nobody/app/application.jar started by nobody in /home/nobody) 
03-03-2026 00:07:22.334 [restartedMain] INFO  i.e.idsa.dataapp.ApplicationDataApp - The following 1 profile is active: "docker" 
03-03-2026 00:07:26.891 [restartedMain] INFO  i.e.idsa.dataapp.ApplicationDataApp - Starting ApplicationDataApp v0.3.8 using Java 17.0.18 on aa4dbdf6c34e with PID 1 (/home/nobody/app/application.jar started by nobody in /home/nobody) 
03-03-2026 00:07:26.893 [restartedMain] INFO  i.e.idsa.dataapp.ApplicationDataApp - The following 1 profile is active: "docker" 
03-03-2026 00:07:27.729 [restartedMain] INFO  i.e.idsa.dataapp.ApplicationDataApp - Creating additional connector for port 8183 
03-03-2026 00:07:27.733 [restartedMain] INFO  i.e.idsa.dataapp.ApplicationDataApp - TLS enabled, adding to new connector 
03-03-2026 00:07:27.856 [restartedMain] INFO  i.e.idsa.dataapp.ApplicationDataApp - Creating additional connector for port 8183 
03-03-2026 00:07:27.862 [restartedMain] INFO  i.e.idsa.dataapp.ApplicationDataApp - TLS enabled, adding to new connector 
03-03-2026 00:07:30.594 [restartedMain] INFO  i.e.i.d.service.ProcessExecutor - Executing process.../bin/sh -c echo | cosign verify --insecure-ignore-tlog --key /cert/trueconn.pub rdlabengpa/ids_be_data_app:v0.3.8 
03-03-2026 00:07:30.594 [restartedMain] INFO  i.e.i.d.service.ProcessExecutor - Executing process.../bin/sh -c echo | cosign verify --insecure-ignore-tlog --key /cert/trueconn.pub rdlabengpa/ids_be_data_app:v0.3.8 
03-03-2026 00:07:30.611 [restartedMain] INFO  i.e.i.d.service.ProcessExecutor - Process returned response /bin/sh: 1: cosign: not found
 
03-03-2026 00:07:30.611 [restartedMain] INFO  i.e.i.d.service.ProcessExecutor - Process returned response /bin/sh: 1: cosign: not found
 
03-03-2026 00:07:30.612 [restartedMain] INFO  i.e.i.d.c.CertificationCheck - Using certified version: 0.3.8 
03-03-2026 00:07:30.613 [restartedMain] INFO  i.e.i.d.c.CertificationCheck - Using certified version: 0.3.8 
03-03-2026 00:07:31.496 [restartedMain] INFO  i.e.idsa.dataapp.ApplicationDataApp - Creating additional connector for port 8183 
03-03-2026 00:07:31.501 [restartedMain] INFO  i.e.idsa.dataapp.ApplicationDataApp - TLS enabled, adding to new connector 
03-03-2026 00:07:32.585 [restartedMain] INFO  i.e.i.d.c.SecureRestTemplateCustomizer - Registered SSL truststore /cert/ssl-server.jks for client requests 
03-03-2026 00:07:32.654 [restartedMain] INFO  i.e.i.d.c.SecureRestTemplateCustomizer - Registered SSL truststore /cert/ssl-server.jks for client requests 
